model,n,positives,auprc,auroc,threshold,sensitivity,specificity,ppv,alerts_per_100_pig_days,tp,fp,fn,tn
M0_baseline,666.0,25.0,0.0499528116150119,0.5736661466458659,0.14596935618765142,0.04,0.9812792511700468,0.07692307692307693,1.951951951951952,1.0,12.0,24.0,629.0
M1_current_vitality,666.0,25.0,0.49484465706754033,0.8998439937597504,0.051771268341978524,0.4,0.9859594383775351,0.5263157894736842,2.8528528528528527,10.0,9.0,15.0,632.0
M2_change,666.0,25.0,0.7631618707569472,0.9821528861154447,0.01116444224525031,0.68,0.9906396255850234,0.7391304347826086,3.4534534534534536,17.0,6.0,8.0,635.0
