model,n,positives,auprc,auroc,threshold,sensitivity,specificity,ppv,alerts_per_100_pig_days,tp,fp,fn,tn
M0_baseline,666.0,25.0,0.050744248571788705,0.5740405616224649,0.13049818228940535,0.0,0.9890795631825273,0.0,1.0510510510510511,0.0,7.0,25.0,634.0
M1_current_vitality,666.0,25.0,0.4876548129770981,0.9008424336973478,0.050717633124211514,0.4,0.9906396255850234,0.625,2.4024024024024024,10.0,6.0,15.0,635.0
M2_change,666.0,25.0,0.7593155807280461,0.9818408736349454,0.010882865485130995,0.68,0.9921996879875195,0.7727272727272727,3.3033033033033035,17.0,5.0,8.0,636.0
